ENGLISH,HINDI,Split sentences,Number of sentences,
Welcome!,कार्या में आपका स्वागत है!,,117,
The first type of task is Voice Recording . You will have to perform a number of these tasks. ,"पहला टास्क है ""वॉइस एनोटेशन""। आपको ऐसे कई टास्क करने होंगे।",,,
Ready to begin?,शुरू करें?,,,
{Next },{Next },,,
{Context},{Context},,,
"While you are completing the tasks below, you will notice a lot of tasks are teaching you about women's rights. This is on purpose as we are committed to building a gender equal world.","
जब आप नीचे दिए गए कार्य पूरे करेंगे, तो आप देखेंगे कि इनमें से कई कार्य आपको महिलाओं के अधिकारों के बारे में सिखा रहे हैं। यह जानबूझकर किया गया है क्योंकि हम चाहते हैं कि हमारे कर्मचारी पुरुष और महिलाओं के बीच समानता के बारे में विचार करें।",,,
{Next },{Next },,,
{Single Sentence},{Single Sentence},,14,
"Everyone talks about how patriarchal norms in Indian society hurts women. Perhaps, it also holds men back. We should start thinking about that. Can you spend some time today thinking about how patriarchy hurts both men and women?","हर कोई कहता है कि भारतीय समाज में पुरुष-प्रधानता महिलाओं को कैसे नुकसान पहुंचाती हैं। शायद, यह पुरुषों को भी पीछे रखता है। हमें इस पर भी सोचना शुरू करना चाहिए। क्या आप आज कुछ समय यह सोचने के लिए निकाल सकते हैं कि पुरुष-प्रधानता किस प्रकार पुरुषों और महिलाओं दोनों को नुकसान पहुंचाती हैं?
",हर कोई कहता है कि भारतीय समाज में पुरुष-प्रधानता महिलाओं को कैसे नुकसान पहुंचाती हैं। ,3,
,," शायद, यह पुरुषों को भी पीछे रखता है। हमें इस पर भी सोचना शुरू करना चाहिए।",,
,,क्या आप आज कुछ समय यह सोचने के लिए निकाल सकते हैं कि पुरुष-प्रधानता किस प्रकार पुरुषों और महिलाओं दोनों को नुकसान पहुंचाती हैं?,,
"""A strong husband is one who supports his wife's dreams, including her right to work outside the home.""","""एक आदर्श पति वह होता है जो अपनी पत्नी के सपनों का भी समर्थन करता है, जिसमें घर से बाहर काम करने का उसका अधिकार भी शामिल है।""","""एक आदर्श पति वह होता है जो अपनी पत्नी के सपनों का भी समर्थन करता है, जिसमें घर से बाहर काम करने का उसका अधिकार भी शामिल है।""",1,
