worker_id,task_duration
2223,8.081520000000001
2255,19.65852
2263,8.22816
2337,4.77708
4889,54.676
5230,22.18532
5259,18.36056
5324,27.59672
5775,14.69916
5964,12.1588
6762,16.29104
8034,3.99916
9029,49.479279999999996
15720,18.891458333333333
20183,18.0608
20493,28.782000000000004
21528,28.99708
22383,17.81068
26556,7.38164
26562,5.99748
26895,4.5762
26901,13.104000000000001
26945,11.82964
27161,29.84588
27766,27.57192
29330,19.378600000000002
30109,24.21536
34227,52.968320000000006
38990,6.567
39684,6.0626
41413,22.23768
41466,38.881319999999995
41486,12.06692
41549,25.17812
44760,13.573920000000001
