id,task_id,name,worker_id,task_duration
6f1804937abf40babda3eb94e32f0e54,10687,Image Labelling : Latent Treatment,27766,4.482
1180d553f8584913852a170fb7fa7ba2,10687,Image Labelling : Latent Treatment,27766,3.143
1ada485a834e4bd8886ef79b937d5239,10687,Image Labelling : Latent Treatment,27766,32.8
ae037d070eab40e7ba0f5b047750e6c5,10687,Image Labelling : Latent Treatment,27766,11.138
731c477417e147b38cfba767556abeff,10687,Image Labelling : Latent Treatment,41413,16.132
84ec94bd782d4bb5ba3a336438aa12df,10687,Image Labelling : Latent Treatment,41413,38.316
0adbfef72dc4463ea8b1ce9498042f26,10687,Image Labelling : Latent Treatment,27766,7.034
108789733b5d4ac79cb486252a5bc086,10687,Image Labelling : Latent Treatment,27766,24.632
f9dec54dc6a14cf8bac5722e1911df4a,10687,Image Labelling : Latent Treatment,6762,23.032
b6a9a23089ce44a89b2f0d6eb8d48f4f,10687,Image Labelling : Latent Treatment,27161,30.22
54fc14a46b6940f08c68905644e37c1e,10687,Image Labelling : Latent Treatment,34227,118.813
066027ecaf864c8599b5f7b33de03a26,10687,Image Labelling : Latent Treatment,21528,38.324
e7e87236b45b4e0f99269065677f3e64,10687,Image Labelling : Latent Treatment,21528,4.813
8c1171fb783d4ca3aec3639dfab56fbf,10687,Image Labelling : Latent Treatment,21528,8.07
daab7191c6794b3497492d8d8082202a,10687,Image Labelling : Latent Treatment,34227,24.487
08cce88577a743d387eed17852700338,10687,Image Labelling : Latent Treatment,34227,116.467
f59ab8cd1fda4b25886ac441d4cc6963,10687,Image Labelling : Latent Treatment,26556,6.193
f6ddb43f71c24f4b99c53821815cdbf3,10687,Image Labelling : Latent Treatment,30109,65.53
b8418efbabcd40fe88fb79e79ce08149,10687,Image Labelling : Latent Treatment,30109,6.274
d7cef2ef2a02405b86fed3d9ba52cc03,10687,Image Labelling : Latent Treatment,5324,8.745
a48e55ae69244a9bbfbe1b9a093c6af1,10687,Image Labelling : Latent Treatment,34227,37.612
02bea0ea22aa4268be8c75ac56eda794,10687,Image Labelling : Latent Treatment,9029,38.279
6c28d7b387bd4077bd4ee4b9bff8c9b7,10687,Image Labelling : Latent Treatment,2223,4.391
f0df3ec7b59b4d19b3821c4c2f820063,10687,Image Labelling : Latent Treatment,9029,55.014
ce5abdbfda6941ffa9f7a8cde68bde4d,10687,Image Labelling : Latent Treatment,26562,4.872
c352cd229c7748cb8dfe0eeae73a8b2e,10687,Image Labelling : Latent Treatment,26562,6.446
ca2b2a6fe42341bb8bc797b1afb9db26,10687,Image Labelling : Latent Treatment,26562,7.719
18a836d7054c42569ebb00847637ee2d,10687,Image Labelling : Latent Treatment,41486,16.543
e86f26f51bf64b19a8b71452006efe0c,10687,Image Labelling : Latent Treatment,41486,9.038
1704095d3f704aea9e09aa0d2327b045,10687,Image Labelling : Latent Treatment,41486,5.828
f32e9b2cd36448d0b519a19537955979,10687,Image Labelling : Latent Treatment,22383,12.923
fe80f82d6acb4e74aa9f045d2618209d,10687,Image Labelling : Latent Treatment,22383,8.352
f280cea711c24d989ef9e059e0f67e4e,10687,Image Labelling : Latent Treatment,22383,12.505
0a7c81dcf2aa4b328ae43b88a63875c5,10687,Image Labelling : Latent Treatment,2255,58.397
f235f9e7fefa453c889787f61f30ac7b,10687,Image Labelling : Latent Treatment,2255,5.84
f5bd3b27728a4116990f790fdfa7b5f6,10687,Image Labelling : Latent Treatment,2255,9.397
e513b155c7d349358126861fae8741f6,10687,Image Labelling : Latent Treatment,2337,3.613
02cbafdb896f4da8b545c7f918437b99,10687,Image Labelling : Latent Treatment,8034,8.151
fff3de0cc93f4494bc208ac073deb27d,10687,Image Labelling : Latent Treatment,8034,3.295
20e27830aa754bb3a758bec3aef39bf9,10687,Image Labelling : Latent Treatment,20493,72.677
d2a0da9149fc4eaba1ae43a596efa8a2,10687,Image Labelling : Latent Treatment,4889,19.398
d30b2b116c0f404d97fd3e194188e8d2,10687,Image Labelling : Latent Treatment,4889,39.891
da19d3278de74ab8adeab23489693020,10687,Image Labelling : Latent Treatment,4889,65.451
eff71128137f4656bd6f0bf2b1998afa,10687,Image Labelling : Latent Treatment,4889,36.164
3312516e89a84abda62081fa1ed77e4a,10687,Image Labelling : Latent Treatment,41549,51.218
5e2b48b0060942a0868ba750bba9a7ba,10687,Image Labelling : Latent Treatment,41549,55.438
00aad230b1cd45088f0f5147402ecd5b,10687,Image Labelling : Latent Treatment,41549,14.995
e9e0ac0965144bc5b93a8a67c1491e62,10687,Image Labelling : Latent Treatment,41549,6.626
08b5a93b444c45dc9cbb1406c98dbbf2,10687,Image Labelling : Latent Treatment,5230,10.632
e5c24338e9a94df5832f585b7affa4be,10687,Image Labelling : Latent Treatment,5230,28.122
38d1ee802054421b9b7434fbb50d81ff,10687,Image Labelling : Latent Treatment,5964,8.407
bd688f77869f4e139403a037511dad02,10687,Image Labelling : Latent Treatment,5964,6.916
a4fe99cdd7344550807669e2604ef069,10687,Image Labelling : Latent Treatment,5259,10.38
23cee165650343b0a26642f1c2c0b7ef,10687,Image Labelling : Latent Treatment,26895,3.752
29fc4645784f43a0b111536493fb798a,10687,Image Labelling : Latent Treatment,26895,3.636
7c1227ed043b43659965d6b5b640c911,10687,Image Labelling : Latent Treatment,26895,5.337
8e43631d7d55454286620e550a17bd77,10687,Image Labelling : Latent Treatment,26895,4.222
94ee38e4056a4a3ba0cac9a087513466,10687,Image Labelling : Latent Treatment,26895,5.564
b272c4b03b1d46c6ab66d72e12fbf2d6,10687,Image Labelling : Latent Treatment,26895,3.469
b73fb269f20c42b7a29f0206a5dcdb45,10687,Image Labelling : Latent Treatment,26895,3.059
f507b4a121bc406b81ad02fdb8492119,10687,Image Labelling : Latent Treatment,26895,3.5
0168c5cf222b49ec8389e8c33f7656d0,10687,Image Labelling : Latent Treatment,26895,5.006
49787517aa294a9698e7e846054ed9f6,10687,Image Labelling : Latent Treatment,44760,6.741
2d04b9add2dc4fda9ab0c51490f4d853,10687,Image Labelling : Latent Treatment,20183,5.547
693f4f7d4d5d42b9a8e0b71c73059db6,10687,Image Labelling : Latent Treatment,30109,4.925
945361448a264ee6ae55d718622fe44d,10687,Image Labelling : Latent Treatment,30109,2.936
6389e5506dba439597a090e756b36969,10687,Image Labelling : Latent Treatment,27161,38.683
6f79240d3a7040b1a2e983e802f387cf,10687,Image Labelling : Latent Treatment,2223,10.556
f6fb6066e3ff4090b907490e06a84940,10687,Image Labelling : Latent Treatment,27766,31.29
f89e83bdbe2a4078ab4920fce329d01b,10687,Image Labelling : Latent Treatment,41413,9.279
639232ecae8c4c58ba37b5f96fd40cdf,10687,Image Labelling : Latent Treatment,2223,3.927
767c1298985f48f794f7fcc605d73616,10687,Image Labelling : Latent Treatment,4889,25.496
c4325a8d46694afca1daad7b7e26067e,10687,Image Labelling : Latent Treatment,26895,4.099
c2097ee6c04749cb8635d280ad025110,10687,Image Labelling : Latent Treatment,26895,5.129
949dc26be982419cb5b72022df8b9916,10687,Image Labelling : Latent Treatment,15720,14.156
45d8bd1104584de08ad37ae5b8dcf559,10687,Image Labelling : Latent Treatment,15720,18.992
1c34188ec1574617b5aca272b29c67f6,10687,Image Labelling : Latent Treatment,15720,15.548
290d0de28ab14e84b11afd747ab76bb7,10687,Image Labelling : Latent Treatment,15720,17.017
fec42c417c324bc485327470fa4f0363,10687,Image Labelling : Latent Treatment,15720,13.878
ff0045e9c0f74242ad13ab2f4e2e6063,10687,Image Labelling : Latent Treatment,15720,9.717
2ba560a594ad4bbeaea2afd9a2ad6f33,10687,Image Labelling : Latent Treatment,15720,11.832
384e12efeeac4d4eb36e46e5dd9a9ee0,10687,Image Labelling : Latent Treatment,15720,13.752
4a14e74614a8428ba1cb54b0f9cca3d7,10687,Image Labelling : Latent Treatment,15720,5.79
4ce6d102d39c44b4aac4516fe962ab88,10687,Image Labelling : Latent Treatment,15720,15.142
56f9f5b84aa744ada479f085255e34a9,10687,Image Labelling : Latent Treatment,15720,74.676
5d919b7da43e42c58f77f975cb318c30,10687,Image Labelling : Latent Treatment,15720,25.575
74fa8a445ab647f08d1fb5a21a275738,10687,Image Labelling : Latent Treatment,15720,11.285
79179c84714d479dba3dcaba0d172982,10687,Image Labelling : Latent Treatment,15720,22.088
