worker_id,task_duration
2105,27.88764
2281,10.08088
2342,5.848400000000001
3122,11.22768
4678,33.19112
4788,12.04692
4790,17.64912
11656,48.31816
17941,22.5152
19175,18.06316
20484,32.82416
25528,8.3934
26559,6.624199999999999
26900,7.11764
27481,8.41492
27702,7.6836400000000005
30704,15.632159999999999
31359,31.958000000000002
31908,13.89152
32103,12.154480000000001
34578,26.5244
35309,34.91624
38990,11.342
41373,12.70684
41462,12.06836
41491,17.02272
41571,22.94944
41625,403.7321199999999
41664,20.956239999999998
44727,8.87032
